Wed Dec 17 00:21:17 2014    prof

         11379 function calls (11280 primitive calls) in 108.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
       76    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:152(deprecate)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:435(_construct_char_code_lookup)
       11    0.000    0.000    0.000    0.000 gdal.py:696(SetProjection)
        4    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
       22    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        4    0.000    0.000    0.000    0.000 sre_parse.py:225(isname)
       73    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       46    0.000    0.000    0.000    0.000 collections.py:332(<genexpr>)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
       11    0.000    0.000    0.000    0.000 sre_parse.py:266(_escape)
       11    0.000    0.000    0.000    0.000 {_sre.compile}
       40    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        7    0.000    0.000    0.000    0.000 gdal_array.py:140(GDALTypeCodeToNumericTypeCode)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
      112    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
       91    0.000    0.000    0.000    0.000 {_sre.getlower}
       14    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
        1    0.000    0.000    0.000    0.000 gdal.py:860(Band)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
       23    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 numeric.py:2705(__enter__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       11    0.000    0.000    0.000    0.000 {_gdal.Dataset_SetProjection}
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
       38    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        2    0.000    0.000    0.000    0.000 {math.cos}
        1    0.000    0.000    0.000    0.000 numerictypes.py:386(_set_up_aliases)
      126    0.000    0.000    0.000    0.000 {ord}
       23    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {_gdal.VersionInfo}
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        4    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
       45    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 gdal.py:662(Dataset)
        6    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
      124    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        8    0.000    0.000    0.000    0.000 collections.py:358(<genexpr>)
        1    0.000    0.000    0.000    0.000 gdal.py:372(Driver)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        2    0.000    0.000    0.000    0.000 utils.py:108(__call__)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
       17    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 {posix.mkdir}
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        8    0.000    0.000    0.000    0.000 collections.py:356(<genexpr>)
       11    0.000    0.000    0.000    0.000 gdal.py:679(<lambda>)
        7    0.000    0.000    0.000    0.000 gdal.py:356(GetMetadataItem)
        5    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        2    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:5564(mvoid)
       18    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 gdal.py:454(GCP)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
       15    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        9    0.000    0.000    0.000    0.000 core.py:2434(getdoc)
        2    0.000    0.000    0.000    0.000 {time.time}
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       21    0.000    0.000    0.000    0.000 {sys._getframe}
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 polynomial.py:930(poly1d)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 numeric.py:2716(_setdef)
        1    0.000    0.000    0.000    0.000 gdal.py:1145(RasterAttributeTable)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
       11    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       21    0.000    0.000    0.000    0.000 sre_parse.py:143(__setitem__)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 info.py:147(<module>)
        1    0.000    0.000    0.000    0.000 {_warnings.warn}
        1    0.000    0.000    0.000    0.000 gdal.py:270(StatBuf)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
        5    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        7    0.000    0.000    0.000    0.000 {_gdal.MajorObject_GetMetadataItem}
        1    0.000    0.000    0.000    0.000 extras.py:1501(__init__)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        1    0.000    0.000    0.000    0.000 S-SEBI_Orientado.py:86(getDriverEntrada)
        2    0.000    0.000    0.000    0.000 numeric.py:1617(set_string_function)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       50    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 core.py:5761(MaskedConstant)
       24    0.000    0.000    0.000    0.000 sre_parse.py:219(isident)
        1    0.000    0.000    0.000    0.000 core.py:5767(__new__)
        1    0.000    0.000    0.000    0.000 S-SEBI_Orientado.py:236(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:269(max)
        1    0.000    0.000    0.000    0.000 numeric.py:2710(__exit__)
        1    0.000    0.000    0.000    0.000 gdal.py:425(ColorEntry)
       12    0.000    0.000    0.000    0.000 {numpy.core.umath.geterrobj}
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 _iotools.py:246(NameValidator)
        1    0.000    0.000    0.000    0.000 numeric.py:2701(__init__)
       38    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        3    0.000    0.000    0.000    0.000 index_tricks.py:231(__init__)
       30    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 warnings.py:75(simplefilter)
        1    0.000    0.000    0.000    0.000 {_gdal.GetDriverByName}
        2    0.000    0.000    0.000    0.000 {map}
        1    0.000    0.000    0.000    0.000 index_tricks.py:434(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1431(__init__)
        1    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        4    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 gdal.py:680(GetDriver)
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.set_string_function}
        9    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 S-SEBI_Orientado.py:235(Formulas)
        1    0.000    0.000    0.000    0.000 gdal.py:325(MajorObject)
        1    0.000    0.000    0.000    0.000 info.py:176(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:390(Counter)
        1    0.000    0.000    0.000    0.000 loader.py:38(TestLoader)
        1    0.000    0.000    0.000    0.000 {_ctypes.dlopen}
        1    0.000    0.000    0.000    0.000 index_tricks.py:456(__init__)
        1    0.000    0.000    0.000    0.000 gdal.py:414(Register)
        1    0.000    0.000    0.000    0.000 nosetester.py:88(NoseTester)
       67    0.000    0.000    0.000    0.000 {globals}
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:21(Arrayterator)
        1    0.000    0.000    0.000    0.000 UserDict.py:58(get)
        1    0.000    0.000    0.000    0.000 info.py:84(<module>)
       38    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        8    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 getlimits.py:194(iinfo)
        1    0.000    0.000    0.000    0.000 string.py:131(__init__)
        1    0.000    0.000    0.000    0.000 runner.py:28(TextTestResult)
        3    0.000    0.000    0.000    0.000 {math.pow}
        1    0.000    0.000    0.000    0.000 S-SEBI_Orientado.py:7(AbreImagem)
        1    0.000    0.000    0.000    0.000 getlimits.py:24(finfo)
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 S-SEBI_Orientado.py:230(setFullSize)
        1    0.000    0.000    0.000    0.000 machar.py:17(MachAr)
        3    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.000    0.000 S-SEBI_Orientado.py:246(setBandasSaida)
        4    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
